views, name, time, title, key
17635996,latenight,5:00,Wheel of Musical Impressions with Christina Aguilera,uD2nOjV3AaI
807730,EEntertainment,1:04,A Statement From Giuliana About Last Night&#39;s Fashion Police | E!,zS7U4Dz58O4
7154039,AdiShankarBrand,14:20,POWER/RANGERS,vw5vcUPyL90
1567656,bbcradio1,4:14,Ed Sheeran covers Christina Aguilera&#39;s Dirrty in the Live Lounge,Pf_ldxntwJg
23496583,movieclipsTRAILERS,2:25,Fifty Shades of Grey Official Trailer #1 (2015) - Jamie Dornan Dakota Johnson Movie HD,CQERFnGvi_A
30106740,movieclipsTRAILERS,3:16,The Prototype Official Teaser Trailer #1 (2013) - Andrew Will Sci-Fi Movie HD,j1p0_R8ZLB0
15739207,movieclipsTRAILERS,2:31,Frozen Official Elsa Trailer (2013) - Disney Animated Movie HD,FLzfXQSPBOg
16973077,movieclipsTRAILERS,5:42,Cloud Atlas Extended Trailer #1 (2012) - Tom Hanks Halle Berry Wachowski Movie HD,hWnAqFyaQ5s
13163576,movieclipsTRAILERS,2:24,The Expendables 3 Official Trailer #1 (2014) - Sylvester Stallone Movie HD,4xD0junWlFc
57797360,movieclipsTRAILERS,1:31,Star Wars: Episode VII - The Force Awakens Official Teaser Trailer #1 (2015) - J.J. Abrams Movie HD,OMOVFvcNfvE
16817047,movieclipsTRAILERS,2:18,Annabelle Official Teaser Trailer #1 (2014) - Horror Movie HD,jdUysoK6tdQ
23547197,movieclipsTRAILERS,3:22,Fast &amp; Furious 6 Official Trailer #1 (2013) - Vin Diesel Movie HD,dKi5XoeTN0k
12343048,WatchMojo,9:03,Top 10 Crazy Moments in Sports,3jT_q7dt-cM
15482457,WatchMojo,14:26,Top 10 Funniest Movie Insults,d0d30A585g0
33696982,WatchMojo,8:07,Top 10 Craziest Events Caught on Live TV,yLVSN9Q3toc
14404214,WatchMojo,8:27,Top 10 Most Shocking Music Myths,d5hvgBD68_s
18793184,WatchMojo,9:25,Top 10 Unsportsmanlike Moments in Pro Sports,eps0J53sb_w
24181366,WatchMojo,7:00,Top 10 Most Paused Movie Moments,BeZLzsik75U
14861687,WatchMojo,14:09,Top 10 Trailers Better Than the Movie,lC4JlGtkC9M
20408640,WatchMojo,7:39,Top 10 Unexpected Movie Deaths,eV0blvbGdZY
18440164,JColeVEVO,5:00,J. Cole - Apparently,eRaFMlZ1YHA
838278789,KatyPerryVEVO,3:46,Katy Perry - Dark Horse (Official) ft. Juicy J,0KSOMA3QBU0
182544847,officialpsy,5:09,PSY - HANGOVER feat. Snoop Dogg M/V,HkMNOlYcpHg
146224698,SiaVEVO,5:08,Sia - Elastic Heart feat. Shia LaBeouf &amp; Maddie Ziegler (Official Video),KWZGAExj-es
160738878,Maroon5VEVO,5:02,Maroon 5 - Sugar,09R8_2nJtjg
326846337,DemiLovatoVEVO,3:51,Demi Lovato - Let It Go (from &quot;Frozen&quot;) [Official],kHue-HaXXzg
164068759,ArianaGrandeVevo,4:11,Ariana Grande The Weeknd - Love Me Harder,g5qU7p7yOY8
465371193,shakiraVEVO,3:31,Shakira - La La La (Brazil 2014) ft. Carlinhos Brown,7-7knsP2n5w
86449934,TaylorSwiftVEVO,5:05,Taylor Swift - Back To December,QUwxKWT6m7U
81502708,TaylorSwiftVEVO,5:04,Taylor Swift - Fifteen,Pb-K2tXWK4w
63594462,TaylorSwiftVEVO,4:01,Safe &amp; Sound feat. The Civil Wars (The Hunger Games: Songs From District 12 And Beyond),RzhAS_GnJIc
68170019,TaylorSwiftVEVO,4:11,Taylor Swift - Begin Again,cMPEd8m79Hw
54983763,TaylorSwiftVEVO,3:32,Taylor Swift - Picture To Burn,yCMqcFAigRg
69902873,TaylorSwiftVEVO,3:38,Taylor Swift - Teardrops On My Guitar,xKCek6_dB0M
97645175,TaylorSwiftVEVO,4:04,Taylor Swift - Mean,jYa1eI1hpDE
111817352,TaylorSwiftVEVO,4:13,Taylor Swift - Everything Has Changed ft. Ed Sheeran,w1oM3kQpXRo
444274667,KatyPerryVEVO,8:11,Katy Perry - Last Friday Night (T.G.I.F.),KlyXNRrsk4A
324956155,KatyPerryVEVO,5:09,Katy Perry - E.T. ft. Kanye West,t5Sd5c4o9UM
47031931,KatyPerryVEVO,8:01,Katy Perry - Birthday,CEUg7OplvIQ
339374250,KatyPerryVEVO,4:37,Katy Perry - Wide Awake,k0BWlvnBmIE
286149435,KatyPerryVEVO,4:51,Katy Perry - The One That Got Away,Ahha3Cqe_fk
838278789,KatyPerryVEVO,3:46,Katy Perry - Dark Horse (Official) ft. Juicy J,0KSOMA3QBU0
24657127,KatyPerryVEVO,5:23,Katy Perry - Thinking Of You (Extended Video),GyYEMXHIVAU
170319395,KatyPerryVEVO,3:57,Katy Perry - Unconditionally (Official),XjwZAa2EjKA
55780910,disneyanimation,6:12,Disney&#39;s Frozen - &quot;Elsa&#39;s Palace&quot; Extended Scene,CuFLaSqNvQk
17885953,disneyanimation,3:44,Disney&#39;s Frozen - &quot;Let It Go&quot; Sing-Along Version,0HtACLaRDk0
48269281,disneyanimation,3:57,Disney&#39;s Frozen - &quot;Let It Go&quot; Multi-Language Full Sequence,OC83NA5tAGE
419318928,disneyanimation,3:39,Disney&#39;s Frozen &quot;Let It Go&quot; Sequence Performed by Idina Menzel,moSFlvxnbgk
20513126,disneyanimation,2:31,Disney&#39;s Frozen &quot;First Time in Forever&quot; Trailer,d_qR8YR6WeU
27561865,disneyanimation,2:33,Disney&#39;s Frozen Official Trailer,TbQm5doF_Uc
21706135,disneyanimation,1:36,Disney&#39;s Frozen Teaser Trailer,S1x76DoACB8
13573179,disneyanimation,2:08,&quot;Snowman&quot; Clip - The Story of Frozen: Making a Disney Animated Classic,RGqY56dAzsc
187141,teamcoco,10:00,Conan &amp; Billy Eichner Join Grindr - CONAN on TBS,dh-mZPtTdpc
555676,JimmyKimmelLive,4:27,#MashUpMonday - Kenny and Warren G,L4E4MWLzKrg
182827,EpitaphRecords,4:36,Falling In Reverse - &quot;Just Like You&quot;,LJQch1teoSA
473643,LashuntriceTheWriter,0:33,Fashion Police Guiliana Rancic on Zendaya,w81uOPRCbVU
97781,ryanseacrest,6:56,Iggy Azalea Explains Papa John&#39;s Twitter Rant | On Air with Ryan Seacrest,kH-5s7yFhLs
3846692,TakeMyTalent,1:22,LeBron James Jr. SHOWS OUT At John Lucas All-Star Weekend!,dijef93nBvY
15428,LateNightSeth,3:04,The Parks and Recreation Cast Sings “Bye Bye Li’l Sebastian” - Late Night with Seth Meyers,0ZQQfkJ7hZY
758929,LastWeekTonight,13:27,Last Week Tonight with John Oliver: Elected Judges (HBO),poL7l-Uk3I8
1226314,SesameStreet,4:28,Sesame Street: House of Bricks (House of Cards Parody),92NXMtVtv8o
1781343,GameofThrones,1:24,Game of Thrones: Blooper Reel #2 (HBO),y6B2ssor0wQ
2596864,KeelerProductionsInc,1:18,Dakota Johnson rips into her Mom Melanie Griffith at Oscars,7VdAUNa-OVg
